candidate_id,rank,score,reasoning
CAND_0041669,1,1.0,"Strong open-source coder (71/100 GitHub). 8.0 years at CRED working as a Recommendation Systems Engineer; skilled in vector database, semantic search, weaviate."
CAND_0079387,2,0.9947,"Highly responsive candidate (0.81 rate). 6.9 years at Microsoft working as a AI Engineer utilizing vector database, opensearch, ranking."
CAND_0062247,3,0.941,"7.3 years at Google working as a AI Engineer; highly experienced with vector database, pinecone, qdrant."
CAND_0052682,4,0.9301,"Strong open-source coder (72/100 GitHub). 6.6 years at Aganitha working as a NLP Engineer; skilled in embeddings, vector database, semantic search."
CAND_0064326,5,0.9119,"7.6 years at Sarvam AI working as a Search Engineer; highly experienced with vector database, semantic search, weaviate."
CAND_0041610,6,0.9048,"Currently a Recommendation Systems Engineer at Zoho deploying embeddings, vector database, opensearch, backed by 6.7 years of experience."
CAND_0011687,7,0.9026,"Strong open-source coder (76/100 GitHub). 7.8 years at Niramai working as a Senior NLP Engineer; skilled in embeddings, vector database, semantic search."
CAND_0046064,8,0.9009,"8.9 years at Salesforce working as a Senior NLP Engineer; highly experienced with vector database, semantic search, pinecone."
CAND_0040117,9,0.8985,"Currently a Recommendation Systems Engineer at PhonePe deploying embeddings, vector database, faiss, backed by 6.5 years of experience."
CAND_0098846,10,0.8818,"Strong open-source coder (86/100 GitHub). 7.6 years at upGrad working as a AI Engineer; skilled in vector database, qdrant."
CAND_0042506,11,0.8798,"Currently a Search Engineer at Verloop.io deploying vector database, semantic search, qdrant, backed by 4.2 years of experience."
CAND_0020708,12,0.8666,"Strong open-source coder (84/100 GitHub). 4.2 years at PolicyBazaar working as a Search Engineer; skilled in vector database, milvus, elasticsearch."
CAND_0053591,13,0.8665,"Strong open-source coder (76/100 GitHub). 5.3 years at Ola working as a AI Engineer; skilled in embeddings, vector database, qdrant."
CAND_0058688,14,0.8661,"Currently a AI Engineer at Vedantu deploying embeddings, vector database, semantic search, backed by 6.7 years of experience."
CAND_0081846,15,0.8598,"Currently a Lead AI Engineer at Razorpay deploying embeddings, vector database, semantic search, backed by 6.7 years of experience."
CAND_0010685,16,0.846,"Highly responsive candidate (0.83 rate). 6.7 years at Rephrase.ai working as a NLP Engineer utilizing vector database, elasticsearch, rag. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0002025,17,0.8373,"Strong open-source coder (97/100 GitHub). 5.9 years at Apple working as a Senior AI Engineer; skilled in vector database, pinecone, weaviate. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0037980,18,0.8325,"9.0 years at Niramai working as a Senior Applied Scientist; highly experienced with vector database, retrieval, nlp. Minor caveat: limited coverage of embeddings, semantic search."
CAND_0014440,19,0.8211,"Strong open-source coder (90/100 GitHub). 6.4 years at CRED working as a Recommendation Systems Engineer; skilled in vector database, qdrant, milvus. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0050454,20,0.8189,"Currently a AI Engineer at Rephrase.ai deploying vector database, qdrant, faiss, backed by 6.8 years of experience. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0007009,21,0.8164,"7.9 years at Wysa working as a Recommendation Systems Engineer; highly experienced with embeddings, vector database, weaviate. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0068811,22,0.8034,"8.0 years at Freshworks working as a Applied ML Engineer; highly experienced with embeddings, vector database, pinecone. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0054394,23,0.7947,"Currently a Recommendation Systems Engineer at PharmEasy deploying embeddings, vector database, pinecone, backed by 4.1 years of experience. Minor caveat: experience (4.1yr) below 5yr minimum."
CAND_0028793,24,0.7938,"Verified 89/100 on embeddings assessment. Brings 7.2 years at Google working as a Search Engineer with embeddings, vector database, ranking. Minor caveat: 120-day notice period."
CAND_0043860,25,0.7909,"Highly responsive candidate (0.81 rate). 6.1 years at Aganitha working as a Junior ML Engineer utilizing vector database, semantic search, qdrant. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0043381,26,0.7886,"Strong open-source coder (71/100 GitHub). 3.6 years at PharmEasy working as a AI Research Engineer; skilled in vector database, pinecone, opensearch. Minor caveat: experience (3.6yr) below 5yr minimum."
CAND_0099806,27,0.779,"Strong open-source coder (87/100 GitHub). 4.6 years at Mad Street Den working as a AI Engineer; skilled in embeddings, vector database, weaviate. Minor caveat: experience (4.6yr) below 5yr minimum."
CAND_0016659,28,0.7712,"Highly responsive candidate (0.89 rate). 4.4 years at Glance working as a ML Engineer utilizing vector database, pinecone, weaviate. Minor caveat: experience (4.4yr) below 5yr minimum."
CAND_0078492,29,0.764,"Currently a Recommendation Systems Engineer at Verloop.io deploying vector database, qdrant, faiss, backed by 5.1 years of experience. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0086022,30,0.7626,"Strong open-source coder (75/100 GitHub). 5.3 years at Sarvam AI working as a Senior Applied Scientist; skilled in embeddings, vector database, pinecone. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0076163,31,0.7575,"Strong open-source coder (85/100 GitHub). 6.9 years at Ola working as a NLP Engineer; skilled in vector database, semantic search, weaviate. Minor caveat: minor overall signal gaps compared to top decile."
CAND_0050876,32,0.7556,"Strong open-source coder (86/100 GitHub). 6.0 years at Freshworks working as a Applied ML Engineer; skilled in vector database, qdrant, faiss. Minor caveat: 90-day notice period."
CAND_0080534,33,0.7518,"Strong open-source coder (81/100 GitHub). 3.8 years at Genpact AI working as a ML Engineer; skilled in vector database, opensearch, elasticsearch. Minor caveat: experience (3.8yr) below 5yr minimum."
CAND_0098780,34,0.7513,"Currently a AI Research Engineer at Zomato deploying vector database, semantic search, pinecone, backed by 5.9 years of experience. Minor caveat: minor overall signal gaps compared to top decile."
