candidate_id,rank,score,reasoning
CAND_0041669,1,1.0,"Shipped CRED's production infrastructure as a Recommendation Systems Engineer using vector database, semantic search, weaviate over 8.0 years. Independently verified: 84/100 on faiss assessment."
CAND_0079387,2,0.9947,"Shipped Microsoft's production infrastructure as a AI Engineer using vector database, opensearch, ranking over 6.9 years. Independently verified: 84/100 on recommendation systems assessment."
CAND_0062247,3,0.941,"Shipped Google's production infrastructure as a AI Engineer using vector database, pinecone, qdrant over 7.3 years. Excellent engagement profile (response rate: 0.78)."
CAND_0071974,4,0.936,"Shipped Netflix's production infrastructure as a Senior AI Engineer using embeddings, vector database, pinecone over 7.8 years. Independently verified: 87/100 on lora assessment."
CAND_0052682,5,0.9301,"Shipped Aganitha's production infrastructure as a NLP Engineer using embeddings, vector database, semantic search over 6.6 years. Excellent engagement profile (response rate: 0.88)."
CAND_0064326,6,0.9119,"Shipped Sarvam AI's production infrastructure as a Search Engineer using vector database, semantic search, weaviate over 7.6 years. Excellent engagement profile (response rate: 0.94)."
CAND_0041610,7,0.9048,"Shipped Zoho's production infrastructure as a Recommendation Systems Engineer using embeddings, vector database, opensearch over 6.7 years. Solid technical foundation and consistent career trajectory."
CAND_0011687,8,0.9026,"Shipped Niramai's production infrastructure as a Senior NLP Engineer using embeddings, vector database, semantic search over 7.8 years. Excellent engagement profile (response rate: 0.89)."
CAND_0046064,9,0.9009,"Shipped Salesforce's production infrastructure as a Senior NLP Engineer using vector database, semantic search, pinecone over 8.9 years. Excellent engagement profile (response rate: 0.78)."
CAND_0040117,10,0.8985,"Shipped PhonePe's production infrastructure as a Recommendation Systems Engineer using embeddings, vector database, faiss over 6.5 years. Solid technical foundation and consistent career trajectory."
CAND_0098846,11,0.8818,"Shipped upGrad's production infrastructure as a AI Engineer using vector database, qdrant over 7.6 years. Solid technical foundation and consistent career trajectory."
CAND_0042506,12,0.8798,"Shipped Verloop.io's production infrastructure as a Search Engineer using vector database, semantic search, qdrant over 4.2 years. Solid technical foundation and consistent career trajectory."
CAND_0020708,13,0.8666,"Shipped PolicyBazaar's production infrastructure as a Search Engineer using vector database, milvus, elasticsearch over 4.2 years. Excellent engagement profile (response rate: 0.84)."
CAND_0053591,14,0.8665,"Shipped Ola's production infrastructure as a AI Engineer using embeddings, vector database, qdrant over 5.3 years. Excellent engagement profile (response rate: 0.81)."
CAND_0058688,15,0.8661,"Shipped Vedantu's production infrastructure as a AI Engineer using embeddings, vector database, semantic search over 6.7 years. Excellent engagement profile (response rate: 0.74)."
CAND_0081846,16,0.8598,"6.7 years building production systems at Razorpay as a Lead AI Engineer, including embeddings, vector database, semantic search. Strong engagement signal (0.73 response rate)."
CAND_0010685,17,0.846,"6.7 years building production systems at Rephrase.ai as a NLP Engineer, including vector database, elasticsearch, rag. Strong engagement signal (0.83 response rate)."
CAND_0002025,18,0.8373,"5.9 years building production systems at Apple as a Senior AI Engineer, including vector database, pinecone, weaviate. Strong engagement signal (0.80 response rate)."
CAND_0037980,19,0.8325,"9.0 years building production systems at Niramai as a Senior Applied Scientist, including vector database, retrieval, nlp. Strong engagement signal (0.63 response rate)."
CAND_0014440,20,0.8211,"6.4 years building production systems at CRED as a Recommendation Systems Engineer, including vector database, qdrant, milvus. Minor caveat: 60-day notice period honestly acknowledged."
CAND_0050454,21,0.8189,"6.8 years building production systems at Rephrase.ai as a AI Engineer, including vector database, qdrant, faiss. Strong engagement signal (0.77 response rate)."
CAND_0007009,22,0.8164,"7.9 years building production systems at Wysa as a Recommendation Systems Engineer, including embeddings, vector database, weaviate. Strong engagement signal (0.62 response rate)."
CAND_0068811,23,0.8034,"8.0 years building production systems at Freshworks as a Applied ML Engineer, including embeddings, vector database, pinecone. Strong engagement signal (0.42 response rate)."
CAND_0054394,24,0.7947,"4.1 years building production systems at PharmEasy as a Recommendation Systems Engineer, including embeddings, vector database, pinecone. Strong engagement signal (0.64 response rate)."
CAND_0028793,25,0.7938,"7.2 years building production systems at Google as a Search Engineer, including embeddings, vector database, ranking. Minor caveat: 120-day notice period honestly acknowledged."
CAND_0043860,26,0.7909,"6.1 years building production systems at Aganitha as a Junior ML Engineer, including vector database, semantic search, qdrant. Strong engagement signal (0.81 response rate)."
CAND_0043381,27,0.7886,"3.6 years building production systems at PharmEasy as a AI Research Engineer, including vector database, pinecone, opensearch. Minor caveat: 45-day notice period honestly acknowledged."
CAND_0099806,28,0.779,"4.6 years building production systems at Mad Street Den as a AI Engineer, including embeddings, vector database, weaviate. Strong engagement signal (0.76 response rate)."
CAND_0016659,29,0.7712,"4.4 years building production systems at Glance as a ML Engineer, including vector database, pinecone, weaviate. Minor caveat: 45-day notice period honestly acknowledged."
CAND_0078492,30,0.764,"5.1 years building production systems at Verloop.io as a Recommendation Systems Engineer, including vector database, qdrant, faiss. Strong engagement signal (0.70 response rate)."
CAND_0086022,31,0.7626,"Independently verified: 79/100 on recommendation systems assessment, backed by strong GitHub activity (75/100). Validates their 5.3 years of experience at Sarvam AI working as a Senior Applied Scientist with embeddings, vector database, pinecone."
CAND_0076163,32,0.7575,"Independently verified: 78/100 on weaviate assessment, backed by strong GitHub activity (85/100). Validates their 6.9 years of experience at Ola working as a NLP Engineer with vector database, semantic search, weaviate."
CAND_0050876,33,0.7556,"Independently verified: 81/100 on faiss assessment, backed by strong GitHub activity (86/100). Validates their 6.0 years of experience at Freshworks working as a Applied ML Engineer with vector database, qdrant, faiss."
CAND_0080534,34,0.7518,"Independently verified: 65/100 on opensearch assessment, backed by strong GitHub activity (81/100). Validates their 3.8 years of experience at Genpact AI working as a ML Engineer with vector database, opensearch, elasticsearch."
CAND_0098780,35,0.7513,"Independently verified: 48/100 on semantic search assessment, backed by GitHub not linked. Validates their 5.9 years of experience at Zomato working as a AI Research Engineer with vector database, semantic search, pinecone."
CAND_0097176,36,0.7463,"Independently verified: strong internal test scores assessment, backed by moderate GitHub activity (45/100). Validates their 5.9 years of experience at Haptik working as a ML Engineer with vector database, faiss."
